商品コード,商品名,規格,単位,単価（円）,用途
CM001,セメント25kg袋,25kg,袋,980,基礎工事用
CM002,生コン（普通強度）,1㎥,㎥,13000,打設用
CM003,砕石（40-0）,1㎥,㎥,4500,路盤材
CM004,山砂,1㎥,㎥,3800,埋戻し
CM005,鉄筋（D10）,10mm×4m,本,320,鉄筋工事
CM006,鉄筋（D13）,13mm×4m,本,480,鉄筋工事
CM007,H鋼100×100,100×100×6m,本,9800,支保工
CM008,単管パイプ,48.6mm×2m,本,980,仮設
CM009,仮設フェンス,1m×2m,枚,2500,仮囲い
CM010,ブルーシート,3.6×5.4m,枚,1200,雨よけ
CM011,メッシュシート,1.8×3.4m,枚,980,養生
CM012,型枠合板,12mm×910×1820,枚,1350,型枠工
CM013,フォームタイ,120mm,個,25,型枠
CM014,セパレーター,150mm,個,45,型枠
CM015,パイプサポート,最小1.5m,本,2980,型枠支え
CM016,生コンバイブレータ,100V,台,58000,締固め
CM017,コンクリート釘,32mm,kg,450,打ち付け
CM018,グラウト材,20kg,袋,1800,無収縮材
CM019,止水板（ゴム製）,10cm幅,m,250,目地用
CM020,シール材（変成シリコン）,330ml,本,550,目地処理
CM021,アスファルト乳剤,18L,缶,2800,舗装下塗り
CM022,路盤材RC-40,1㎥,㎥,4100,道路基礎
CM023,鉄筋結束線,1kg,巻,280,結束
CM024,バラス,1㎥,㎥,3900,下層路盤
CM025,コンクリートブロック,390×190×100,個,250,擁壁
CM026,インターロッキング,200×100,個,180,舗装
CM027,透水性舗装材,25kg,袋,980,排水舗装
CM028,合成樹脂舗装材,20kg,缶,4800,景観舗装
CM029,鋼製側溝蓋,300mm幅,枚,6800,排水
CM030,U字溝（300型）,300×300×600,個,2800,排水
CM031,人孔蓋（T-25）,600mm,枚,14800,マンホール
CM032,ジオテキスタイル,1m×50m,巻,8500,法面保護
CM033,防草シート,1m×10m,巻,1200,雑草対策
CM034,目地板（コンクリート用）,10×100×2000,枚,250,伸縮目地
CM035,アスファルト合材,25kg,袋,1200,舗装補修
CM036,塩化カルシウム,25kg,袋,1600,凍結防止
CM037,道路反射鏡（カーブミラー）,φ600,台,7800,安全対策
CM038,区画線塗料（白）,15kg,缶,5800,ライン引き
CM039,安全標識板,600×450,枚,1500,掲示
CM040,カラーコーン,700mm,本,480,安全表示
CM041,バリケード,1.5m幅,基,3200,通行止め
CM042,工事看板スタンド,A型,基,1980,仮設
CM043,仮設トイレ（簡易型）,1棟,棟,58000,現場用
CM044,防炎シート,1.8×3.4m,枚,1580,火災防止
CM045,粉塵防止ネット,1.8×10m,巻,2480,養生
CM046,安全帯（フルハーネス）,1式,式,8800,高所作業
CM047,ヘルメット（通気型）,白,個,3200,保護具
CM048,手袋（耐油・防水）,Lサイズ,双,350,作業用
CM049,長靴（鉄芯入り）,26cm,足,1800,保護具
CM050,反射ベスト,フリーサイズ,着,980,夜間作業
