商品名,商品説明
セメント25kg袋,ポルトランドセメントとも呼ばれ、基礎やブロック積みに使用される定番建材。水と混ぜると硬化する。
生コン（普通強度）,普通コンクリートとも呼ばれ、建築・土木工事で幅広く使われる打設用の標準的な生コン。
砕石（40-0）,クラッシャーランとも呼ばれる路盤用砕石で、排水性と強度に優れている。
山砂,自然砂とも呼ばれ、整地や埋戻しに使用。保水性があり造園用にも適する。
鉄筋（D10）,異形鉄筋D10とも呼ばれ、鉄筋コンクリート構造物の補強に使用される。
鉄筋（D13）,異形鉄筋D13とも呼ばれ、構造補強に適した太径の鉄筋で梁やスラブに用いる。
H鋼100×100,H形鋼とも呼ばれ、仮設構造や土留め用の高強度鋼材。
単管パイプ,足場管とも呼ばれ、仮設足場や支柱に使用される組立式鋼管。
仮設フェンス,フェンスパネルとも呼ばれ、工事現場の囲いや安全確保に使用。
ブルーシート,養生シートとも呼ばれ、資材養生や雨よけなど多用途に使える防水シート。
メッシュシート,防塵ネットとも呼ばれ、粉塵飛散防止や視線遮断に用いる網状シート。
型枠合板,コンパネとも呼ばれ、型枠施工に用いる合板で繰返し使用可能。
フォームタイ,タイロッドとも呼ばれ、型枠を固定する金具。セパと組合せて使用。
セパレーター,セパとも呼ばれ、型枠間の幅を保つスペーサー。
パイプサポート,支保工ジャッキとも呼ばれ、型枠や構台の支えに使用される。
生コンバイブレータ,コンクリートバイブとも呼ばれ、締固めによる空隙除去と密実性向上に使用。
コンクリート釘,コンクリ釘とも呼ばれ、コンクリートへ直接打ち込める専用釘。
グラウト材,無収縮モルタルとも呼ばれ、隙間充填やアンカー固定用の建材。
止水板（ゴム製）,ゴム止水板とも呼ばれ、コンクリートの継ぎ目からの漏水を防止。
シール材（変成シリコン）,変成シリコンシーラントとも呼ばれ、目地防水処理に使われる接着材。
アスファルト乳剤,乳剤とも呼ばれ、舗装前の接着用途に使われる速乾性材料。
路盤材RC-40,再生クラッシャーとも呼ばれ、路盤工事に使われるリサイクル砕石。
鉄筋結束線,なまし鉄線とも呼ばれ、鉄筋の固定・結束に使われる柔軟な針金。
バラス,砕石バラスとも呼ばれ、鉄道や道路の下地材として用いられる。
コンクリートブロック,CBブロックとも呼ばれ、擁壁や間仕切りに使われる標準ブロック。
インターロッキング,舗装ブロックとも呼ばれ、歩道や景観舗装に使われる組み合わせ式ブロック。
透水性舗装材,透水材とも呼ばれ、水はけが良く雨水を地面に浸透させる舗装材。
合成樹脂舗装材,カラー舗装材とも呼ばれ、景観性と耐久性を兼ね備えた舗装材。
鋼製側溝蓋,グレーチングとも呼ばれ、側溝の蓋に用いられる排水性の高い鋼材。
U字溝（300型）,U型側溝とも呼ばれ、雨水排水や道路脇に設置されるコンクリート製溝。
人孔蓋（T-25）,マンホール蓋とも呼ばれ、点検口に用いられる重耐荷型の蓋。
ジオテキスタイル,土木用織布とも呼ばれ、法面保護や浸食防止に用いる合成繊維シート。
防草シート,雑草防止シートとも呼ばれ、雑草の発生を抑えるために敷設される。
目地板（コンクリート用）,伸縮目地材とも呼ばれ、コンクリートの割れ防止用に使用される。
アスファルト合材,補修用アスファルトとも呼ばれ、小規模舗装補修に使える即効型材料。
塩化カルシウム,凍結防止剤とも呼ばれ、冬季の凍結防止や融雪用の白色粉末。
道路反射鏡（カーブミラー）,カーブミラーとも呼ばれ、見通しの悪い交差点での視認性向上に使用。
区画線塗料（白）,ライン用塗料とも呼ばれ、道路や駐車場の白線表示に使用される速乾型塗料。
安全標識板,工事用表示板とも呼ばれ、注意喚起や案内に使われる視認性の高い標識。
カラーコーン,三角コーンとも呼ばれ、区画や注意喚起に使う安全表示用器具。
バリケード,工事用バリケードとも呼ばれ、車両誘導や進入防止に使用される安全柵。
工事看板スタンド,A型スタンドとも呼ばれ、工事案内や表示に使われる看板スタンド。
仮設トイレ（簡易型）,簡易トイレとも呼ばれ、現場で使用される水洗・非水洗式のトイレ。
防炎シート,難燃シートとも呼ばれ、火気対策として使われる不燃性の養生シート。
粉塵防止ネット,防じんネットとも呼ばれ、粉塵飛散防止のための囲いネット。
安全帯（フルハーネス）,フルハーネス型墜落制止器具とも呼ばれ、高所作業時の安全確保に使用。
ヘルメット（通気型）,作業用ヘルメットとも呼ばれ、通気性を備えた現場用保護帽。
手袋（耐油・防水）,作業用グローブとも呼ばれ、油や水に強く滑り止め付きの手袋。
長靴（鉄芯入り）,安全長靴とも呼ばれ、つま先に鉄芯を内蔵した安全対策用長靴。
反射ベスト,高視認性ベストとも呼ばれ、夜間作業時の安全確保に使われる反射素材のベスト。
